Using cpu device
Logging to ./logs/PPO_8
---------------------------------
| rollout/           |          |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.024      |
|    std                  | 0.309       |
|    value_loss           | 89.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.7        |
|    ep_rew_mean          | -48.2       |
| time/                   |             |
|    fps                  | 358         |
|    iterations           | 16          |
|    time_elapsed         | 365         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.033470735 |
|    clip_fraction        | 0.364       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.738       |
|    learning_rate        | 0.0003      |
|    loss                 | 31          |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0243     |
|    std                  | 0.301       |
|    value_loss           | 90.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.3        |
|    ep_rew_mean          | -45.5       |
| time/                   |             |
|    fps                  | 359         |
|    iterations           | 17          |
|    time_elapsed         | 387         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.039349873 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.18       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.0003      |
|    loss                 | 34.1        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.293       |
|    value_loss           | 82.5        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 19.8       |
|    ep_rew_mean          | -35.2      |
| time/                   |            |
|    fps                  | 357        |
|    iterations           | 18         |
|    time_elapsed         | 412        |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.04067771 |
|    clip_fraction        | 0.398      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.04      |
|    explained_variance   | 0.719      |
|    learning_rate        | 0.0003     |
|    loss                 | 30.1       |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.0239    |
|    std                  | 0.287      |
|    value_loss           | 79.6       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.5        |
|    ep_rew_mean          | -32.5       |
| time/                   |             |
|    fps                  | 358         |
|    iterations           | 19          |
|    time_elapsed         | 434         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.045257583 |
|    clip_fraction        | 0.424       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.899      |
|    explained_variance   | 0.697       |
|    learning_rate        | 0.0003      |
|    loss                 | 22.6        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0182     |
|    std                  | 0.28        |
|    value_loss           | 65          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22          |
|    ep_rew_mean          | -28.2       |
| time/                   |             |
|    fps                  | 355         |
|    iterations           | 20          |
|    time_elapsed         | 460         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.039520293 |
|    clip_fraction        | 0.401       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.788      |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.0003      |
|    loss                 | 32.3        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.275       |
|    value_loss           | 58.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.3        |
|    ep_rew_mean          | -19.7       |
| time/                   |             |
|    fps                  | 355         |
|    iterations           | 21          |
|    time_elapsed         | 483         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.044995986 |
|    clip_fraction        | 0.444       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.705      |
|    explained_variance   | 0.622       |
|    learning_rate        | 0.0003      |
|    loss                 | 36.1        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.272       |
|    value_loss           | 47.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.4        |
|    ep_rew_mean          | 10.4        |
| time/                   |             |
|    fps                  | 353         |
|    iterations           | 22          |
|    time_elapsed         | 509         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.034221254 |
|    clip_fraction        | 0.411       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.569      |
|    explained_variance   | 0.567       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.01        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.265       |
|    value_loss           | 44.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.7        |
|    ep_rew_mean          | 0.266       |
| time/                   |             |
|    fps                  | 353         |
|    iterations           | 23          |
|    time_elapsed         | 533         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.025792716 |
|    clip_fraction        | 0.347       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.505      |
|    explained_variance   | 0.596       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.5         |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.000436   |
|    std                  | 0.263       |
|    value_loss           | 26.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 99.1        |
|    ep_rew_mean          | 31.8        |
| time/                   |             |
|    fps                  | 351         |
|    iterations           | 24          |
|    time_elapsed         | 559         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.022672638 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.453      |
|    explained_variance   | 0.649       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.48        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0122     |
|    std                  | 0.261       |
|    value_loss           | 53.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | 70.5        |
| time/                   |             |
|    fps                  | 350         |
|    iterations           | 25          |
|    time_elapsed         | 584         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.022325872 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.406      |
|    explained_variance   | 0.736       |
|    learning_rate        | 0.0003      |
|    loss                 | 12.1        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00802    |
|    std                  | 0.259       |
|    value_loss           | 45.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | 105         |
| time/                   |             |
|    fps                  | 349         |
|    iterations           | 26          |
|    time_elapsed         | 608         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.025764335 |
|    clip_fraction        | 0.332       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.352      |
|    explained_variance   | 0.596       |
|    learning_rate        | 0.0003      |
|    loss                 | 22.2        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00401    |
|    std                  | 0.256       |
|    value_loss           | 41.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 293         |
|    ep_rew_mean          | 163         |
| time/                   |             |
|    fps                  | 348         |
|    iterations           | 27          |
|    time_elapsed         | 634         |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.027569331 |
|    clip_fraction        | 0.324       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.305      |
|    explained_variance   | 0.556       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.08        |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00247    |
|    std                  | 0.254       |
|    value_loss           | 33          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 347         |
|    ep_rew_mean          | 200         |
| time/                   |             |
|    fps                  | 348         |
|    iterations           | 28          |
|    time_elapsed         | 657         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.028065924 |
|    clip_fraction        | 0.409       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.264      |
|    explained_variance   | 0.232       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.49        |
|    n_updates            | 270         |
|    policy_gradient_loss | 0.006       |
|    std                  | 0.253       |
|    value_loss           | 3.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 398         |
|    ep_rew_mean          | 238         |
| time/                   |             |
|    fps                  | 346         |
|    iterations           | 29          |
|    time_elapsed         | 684         |
|    total_timesteps      | 237568      |
| train/                  |             |
|    approx_kl            | 0.024158286 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.22       |
|    explained_variance   | 0.42        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.29        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0035     |
|    std                  | 0.251       |
|    value_loss           | 40.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 255         |
|    ep_rew_mean          | 145         |
| time/                   |             |
|    fps                  | 347         |
|    iterations           | 30          |
|    time_elapsed         | 707         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.050481956 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.183      |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.79        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00264    |
|    std                  | 0.25        |
|    value_loss           | 63.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | 78.8        |
| time/                   |             |
|    fps                  | 345         |
|    iterations           | 31          |
|    time_elapsed         | 735         |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.008793804 |
|    clip_fraction        | 0.0661      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.183      |
|    explained_variance   | 0.574       |
|    learning_rate        | 0.0003      |
|    loss                 | 31.2        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.25        |
|    value_loss           | 186         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 192         |
|    ep_rew_mean          | 119         |
| time/                   |             |
|    fps                  | 345         |
|    iterations           | 32          |
|    time_elapsed         | 759         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.016533855 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.174      |
|    explained_variance   | 0.801       |
|    learning_rate        | 0.0003      |
|    loss                 | 24.1        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 0.25        |
|    value_loss           | 122         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 228         |
|    ep_rew_mean          | 142         |
| time/                   |             |
|    fps                  | 343         |
|    iterations           | 33          |
|    time_elapsed         | 786         |
|    total_timesteps      | 270336      |
| train/                  |             |
|    approx_kl            | 0.027372561 |
|    clip_fraction        | 0.235       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.176      |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.0003      |
|    loss                 | 39.5        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00702    |
|    std                  | 0.25        |
|    value_loss           | 70.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 256        |
|    ep_rew_mean          | 163        |
| time/                   |            |
|    fps                  | 343        |
|    iterations           | 34         |
|    time_elapsed         | 811        |
|    total_timesteps      | 278528     |
| train/                  |            |
|    approx_kl            | 0.04333794 |
|    clip_fraction        | 0.365      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.194     |
|    explained_variance   | 0.814      |
|    learning_rate        | 0.0003     |
|    loss                 | 4.1        |
|    n_updates            | 330        |
|    policy_gradient_loss | 0.00771    |
|    std                  | 0.25       |
|    value_loss           | 39.1       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 322         |
|    ep_rew_mean          | 204         |
| time/                   |             |
|    fps                  | 342         |
|    iterations           | 35          |
|    time_elapsed         | 837         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.034281455 |
|    clip_fraction        | 0.32        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.152      |
|    explained_variance   | 0.865       |
|    learning_rate        | 0.0003      |
|    loss                 | 18.2        |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00244    |
|    std                  | 0.248       |
|    value_loss           | 33          |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 395        |
|    ep_rew_mean          | 252        |
| time/                   |            |
|    fps                  | 339        |
|    iterations           | 36         |
|    time_elapsed         | 869        |
|    total_timesteps      | 294912     |
| train/                  |            |
|    approx_kl            | 0.03539285 |
|    clip_fraction        | 0.594      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.133     |
|    explained_variance   | 0.706      |
|    learning_rate        | 0.0003     |
|    loss                 | 17.9       |
|    n_updates            | 350        |
|    policy_gradient_loss | 0.0378     |
|    std                  | 0.249      |
|    value_loss           | 26.6       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 451        |
|    ep_rew_mean          | 287        |
| time/                   |            |
|    fps                  | 338        |
|    iterations           | 37         |
|    time_elapsed         | 895        |
|    total_timesteps      | 303104     |
| train/                  |            |
|    approx_kl            | 0.21452743 |
|    clip_fraction        | 0.285      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.154     |
|    explained_variance   | 0.813      |
|    learning_rate        | 0.0003     |
|    loss                 | 8.13       |
|    n_updates            | 360        |
|    policy_gradient_loss | 0.00306    |
|    std                  | 0.249      |
|    value_loss           | 64.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 507         |
|    ep_rew_mean          | 324         |
| time/                   |             |
|    fps                  | 337         |
|    iterations           | 38          |
|    time_elapsed         | 921         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.049391203 |
|    clip_fraction        | 0.44        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.16       |
|    explained_variance   | 0.666       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.2         |
|    n_updates            | 370         |
|    policy_gradient_loss | 0.0201      |
|    std                  | 0.248       |
|    value_loss           | 14.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 516         |
|    ep_rew_mean          | 326         |
| time/                   |             |
|    fps                  | 338         |
|    iterations           | 39          |
|    time_elapsed         | 942         |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.061042987 |
|    clip_fraction        | 0.312       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.112      |
|    explained_variance   | 0.742       |
|    learning_rate        | 0.0003      |
|    loss                 | 12.8        |
|    n_updates            | 380         |
|    policy_gradient_loss | 0.00459     |
|    std                  | 0.247       |
|    value_loss           | 30.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 566         |
|    ep_rew_mean          | 363         |
| time/                   |             |
|    fps                  | 338         |
|    iterations           | 40          |
|    time_elapsed         | 969         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.035290584 |
|    clip_fraction        | 0.419       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0943     |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | 20.5        |
|    n_updates            | 390         |
|    policy_gradient_loss | 0.0113      |
|    std                  | 0.247       |
|    value_loss           | 42          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 494         |
|    ep_rew_mean          | 317         |
| time/                   |             |
|    fps                  | 338         |
|    iterations           | 41          |
|    time_elapsed         | 991         |
|    total_timesteps      | 335872      |
| train/                  |             |
|    approx_kl            | 0.040523574 |
|    clip_fraction        | 0.424       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0651     |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.477       |
|    n_updates            | 400         |
|    policy_gradient_loss | 0.0102      |
|    std                  | 0.244       |
|    value_loss           | 9.82        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 503         |
|    ep_rew_mean          | 330         |
| time/                   |             |
|    fps                  | 337         |
|    iterations           | 42          |
|    time_elapsed         | 1019        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.008194119 |
|    clip_fraction        | 0.0676      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0262     |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | 24.8        |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0124     |
|    std                  | 0.244       |
|    value_loss           | 82.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 487         |
|    ep_rew_mean          | 325         |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 43          |
|    time_elapsed         | 1045        |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.014497921 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0135     |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.09        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00991    |
|    std                  | 0.243       |
|    value_loss           | 27.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 495         |
|    ep_rew_mean          | 335         |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 44          |
|    time_elapsed         | 1070        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.022281107 |
|    clip_fraction        | 0.386       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0106      |
|    explained_variance   | 0.908       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.32        |
|    n_updates            | 430         |
|    policy_gradient_loss | 0.00556     |
|    std                  | 0.242       |
|    value_loss           | 11.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 520         |
|    ep_rew_mean          | 354         |
| time/                   |             |
|    fps                  | 335         |
|    iterations           | 45          |
|    time_elapsed         | 1098        |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.021465065 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0601      |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.89        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00177    |
|    std                  | 0.239       |
|    value_loss           | 18.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 519         |
|    ep_rew_mean          | 355         |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 46          |
|    time_elapsed         | 1120        |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.023929095 |
